fiscal_year,month,type_name,remitter_bank,category,value,units,notes
2026-27,Jul,Mandate Execution,State Bank of India,Total Volume,556.591126,value in millions,
2026-27,Jul,Mandate Execution,State Bank of India,Approved,28.65,value in percentage,
2026-27,Jul,Mandate Execution,State Bank of India,BD,70.4,value in percentage,
2026-27,Jul,Mandate Execution,State Bank of India,TD,0.95,value in percentage,
2026-27,Jul,Mandate Execution,Airtel Payments Bank,Total Volume,190.492065,value in millions,
2026-27,Jul,Mandate Execution,Airtel Payments Bank,Approved,5.96,value in percentage,
2026-27,Jul,Mandate Execution,Airtel Payments Bank,BD,93.51,value in percentage,
2026-27,Jul,Mandate Execution,Airtel Payments Bank,TD,0.53,value in percentage,
2026-27,Jul,Mandate Execution,Bank of Baroda,Total Volume,182.005239,value in millions,
2026-27,Jul,Mandate Execution,Bank of Baroda,Approved,22.51,value in percentage,
2026-27,Jul,Mandate Execution,Bank of Baroda,BD,76.7,value in percentage,
2026-27,Jul,Mandate Execution,Bank of Baroda,TD,0.78,value in percentage,
2026-27,Jul,Mandate Execution,Union Bank Of India,Total Volume,146.929235,value in millions,
2026-27,Jul,Mandate Execution,Union Bank Of India,Approved,24.6,value in percentage,
2026-27,Jul,Mandate Execution,Union Bank Of India,BD,75.06,value in percentage,
2026-27,Jul,Mandate Execution,Union Bank Of India,TD,0.34,value in percentage,
2026-27,Jul,Mandate Execution,India Post Payments Bank,Total Volume,143.115298,value in millions,
2026-27,Jul,Mandate Execution,India Post Payments Bank,Approved,9.17,value in percentage,
2026-27,Jul,Mandate Execution,India Post Payments Bank,BD,89.77,value in percentage,
2026-27,Jul,Mandate Execution,India Post Payments Bank,TD,1.05,value in percentage,
2026-27,Jul,Mandate Execution,Punjab National Bank,Total Volume,138.568669,value in millions,
2026-27,Jul,Mandate Execution,Punjab National Bank,Approved,23.31,value in percentage,
2026-27,Jul,Mandate Execution,Punjab National Bank,BD,75.68,value in percentage,
2026-27,Jul,Mandate Execution,Punjab National Bank,TD,1,value in percentage,
2026-27,Jul,Mandate Execution,Kotak Mahindra Bank,Total Volume,130.927068,value in millions,
2026-27,Jul,Mandate Execution,Kotak Mahindra Bank,Approved,21.6,value in percentage,
2026-27,Jul,Mandate Execution,Kotak Mahindra Bank,BD,77.37,value in percentage,
2026-27,Jul,Mandate Execution,Kotak Mahindra Bank,TD,1.02,value in percentage,
