fiscal_year,month,type_name,payer_psp,category,value,units,notes
2026-27,Jul,Mandate Execution,Yes Bank,Total Volume,302.418202,value in millions,
2026-27,Jul,Mandate Execution,Yes Bank,Approved,98.17,value in percentage,
2026-27,Jul,Mandate Execution,Yes Bank,BD,1.82,value in percentage,
2026-27,Jul,Mandate Execution,Yes Bank,TD,0.01,value in percentage,
2026-27,Jul,Mandate Execution,Axis Bank,Total Volume,120.418264,value in millions,
2026-27,Jul,Mandate Execution,Axis Bank,Approved,97.94,value in percentage,
2026-27,Jul,Mandate Execution,Axis Bank,BD,2.05,value in percentage,
2026-27,Jul,Mandate Execution,Axis Bank,TD,0.01,value in percentage,
2026-27,Jul,Mandate Execution,ICICI Bank,Total Volume,90.910284,value in millions,
2026-27,Jul,Mandate Execution,ICICI Bank,Approved,97.37,value in percentage,
2026-27,Jul,Mandate Execution,ICICI Bank,BD,2.57,value in percentage,
2026-27,Jul,Mandate Execution,ICICI Bank,TD,0.06,value in percentage,
2026-27,Jul,Mandate Execution,State Bank Of India,Total Volume,46.337184,value in millions,
2026-27,Jul,Mandate Execution,State Bank Of India,Approved,97.76,value in percentage,
2026-27,Jul,Mandate Execution,State Bank Of India,BD,2.14,value in percentage,
2026-27,Jul,Mandate Execution,State Bank Of India,TD,0.1,value in percentage,
2026-27,Jul,Mandate Execution,HDFC Bank,Total Volume,41.733817,value in millions,
2026-27,Jul,Mandate Execution,HDFC Bank,Approved,99.07,value in percentage,
2026-27,Jul,Mandate Execution,HDFC Bank,BD,0.93,value in percentage,
2026-27,Jul,Mandate Execution,HDFC Bank,TD,0,value in percentage,
2026-27,Jul,Mandate Execution,BHIM,Total Volume,3.3207,value in millions,
2026-27,Jul,Mandate Execution,BHIM,Approved,97.8,value in percentage,
2026-27,Jul,Mandate Execution,BHIM,BD,2.2,value in percentage,
2026-27,Jul,Mandate Execution,BHIM,TD,0,value in percentage,
2026-27,Jul,Mandate Execution,Kotak Mahindra Bank,Total Volume,1.716094,value in millions,
2026-27,Jul,Mandate Execution,Kotak Mahindra Bank,Approved,26.06,value in percentage,
2026-27,Jul,Mandate Execution,Kotak Mahindra Bank,BD,73.94,value in percentage,
2026-27,Jul,Mandate Execution,Kotak Mahindra Bank,TD,0,value in percentage,
2026-27,Jul,Mandate Execution,Slice Small Finance Bank,Total Volume,1.360839,value in millions,
2026-27,Jul,Mandate Execution,Slice Small Finance Bank,Approved,25.35,value in percentage,
2026-27,Jul,Mandate Execution,Slice Small Finance Bank,BD,74.41,value in percentage,
2026-27,Jul,Mandate Execution,Slice Small Finance Bank,TD,0.24,value in percentage,
2026-27,Jul,Mandate Execution,Airtel Payments Bank,Total Volume,1.056137,value in millions,
2026-27,Jul,Mandate Execution,Airtel Payments Bank,Approved,5.51,value in percentage,
2026-27,Jul,Mandate Execution,Airtel Payments Bank,BD,94.26,value in percentage,
2026-27,Jul,Mandate Execution,Airtel Payments Bank,TD,0.23,value in percentage,
2026-27,Jul,Mandate Execution,Unity Small Finance Bank,Total Volume,0.458882,value in millions,
2026-27,Jul,Mandate Execution,Unity Small Finance Bank,Approved,97.86,value in percentage,
2026-27,Jul,Mandate Execution,Unity Small Finance Bank,BD,2.14,value in percentage,
2026-27,Jul,Mandate Execution,Unity Small Finance Bank,TD,0,value in percentage,
2026-27,Jul,Mandate Execution,Jio Payments Bank,Total Volume,0.10169,value in millions,
2026-27,Jul,Mandate Execution,Jio Payments Bank,Approved,13.92,value in percentage,
2026-27,Jul,Mandate Execution,Jio Payments Bank,BD,1.71,value in percentage,
2026-27,Jul,Mandate Execution,Jio Payments Bank,TD,84.37,value in percentage,
2026-27,Jul,Mandate Execution,NSDL Payments Bank,Total Volume,0.087671,value in millions,
2026-27,Jul,Mandate Execution,NSDL Payments Bank,Approved,86.56,value in percentage,
2026-27,Jul,Mandate Execution,NSDL Payments Bank,BD,13.44,value in percentage,
2026-27,Jul,Mandate Execution,NSDL Payments Bank,TD,0,value in percentage,
2026-27,Jul,Mandate Execution,RBL Bank,Total Volume,0.081388,value in millions,
2026-27,Jul,Mandate Execution,RBL Bank,Approved,99.4,value in percentage,
2026-27,Jul,Mandate Execution,RBL Bank,BD,0.6,value in percentage,
2026-27,Jul,Mandate Execution,RBL Bank,TD,0,value in percentage,
2026-27,Jul,Mandate Execution,DBS Bank India Limited,Total Volume,0.030316,value in millions,
2026-27,Jul,Mandate Execution,DBS Bank India Limited,Approved,41.78,value in percentage,
2026-27,Jul,Mandate Execution,DBS Bank India Limited,BD,58.13,value in percentage,
2026-27,Jul,Mandate Execution,DBS Bank India Limited,TD,0.09,value in percentage,
2026-27,Jul,Mandate Execution,IndusInd Bank,Total Volume,0.02561,value in millions,
2026-27,Jul,Mandate Execution,IndusInd Bank,Approved,23.83,value in percentage,
2026-27,Jul,Mandate Execution,IndusInd Bank,BD,76.17,value in percentage,
2026-27,Jul,Mandate Execution,IndusInd Bank,TD,0,value in percentage,
2026-27,Jul,Mandate Execution,Canara Bank,Total Volume,0.025454,value in millions,
2026-27,Jul,Mandate Execution,Canara Bank,Approved,68.23,value in percentage,
2026-27,Jul,Mandate Execution,Canara Bank,BD,31.77,value in percentage,
2026-27,Jul,Mandate Execution,Canara Bank,TD,0,value in percentage,
2026-27,Jul,Mandate Execution,Bank of India,Total Volume,0.015353,value in millions,
2026-27,Jul,Mandate Execution,Bank of India,Approved,2.21,value in percentage,
2026-27,Jul,Mandate Execution,Bank of India,BD,97.79,value in percentage,
2026-27,Jul,Mandate Execution,Bank of India,TD,0,value in percentage,
2026-27,Jul,Mandate Execution,Bank of Baroda,Total Volume,0.011802,value in millions,
2026-27,Jul,Mandate Execution,Bank of Baroda,Approved,96.29,value in percentage,
2026-27,Jul,Mandate Execution,Bank of Baroda,BD,3.69,value in percentage,
2026-27,Jul,Mandate Execution,Bank of Baroda,TD,0.03,value in percentage,
